,明治30,明治31,明治32.4-32.9,明治32.10-33.3,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正11.4-7
営業税付加割,,,,,,,"2,679.290","2,778.790","2,806.530","2,931.680","3,270.930","3,094.360","2,898.840","3,176.380","3,258.070","3,083.740","3,989.830","4,530.450","6,091.650","6,346.620","15,090.250","28,671.750","34,147.320",50.337.430,"38,156.440","10,308.910"
雑種税付加割,,,,,,,"7,658.330","14,043.900","12,982.440","14,698.220","19,151.600","16,075.580","12,534.600","12,565.240","13,462.990","12,941.750","17,285.000","16,143.270","19,096.770","20,895.420","16,130.880","22,133.080","36,755.070",93.921.070,"171,689.190","62,074.090"
地価割増,"8,820.046",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,~,-
建物割,"62,168.714","78,489.259","39,489.044","35,919.634","79,070.609","70,316.883","66,376.580","69,293.000","71,822.320","73,175.250","94,817.000","60,309.580","37,612.260","54,910.210","77,591.750","83,863.540","101,219.680","103,896.550","108,411.510","109,256.720","108,412.900","26,407.240","148,444.260","198,016.620",179.492.110,"86,922.380"
建物割増,"5,691.591",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
宅地割,,,,,,"9,345.320","9,369.090","9,416.070",-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-
耕地割,,,,,,387.740,395.220,402.290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
戸別割,,,,"3,368.893","12,167.850","11,341.650",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
特別戸別割,,,"5,816.650",-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,一,-,-,-,-,-,-
所得税割,,,,,"17,393.890","20,312.030","25,971.550","37,404.190","18,854.600","20,927.730","35,251.570","26,505.744","33,514.050","30,764.810","29,059.400","30,018.275","31,684.380","32,314.365","40,372.880","55,483.380","153,272.190","134,582.650","252,551.200","66,181.660","108,463.220",517.870
営業税割,,"22,841.886","10,092.706",-,"18,004.494","19,610.962","20,398.810","25,028.340","15,659.070",16.728.750,"29,430.530","28,067.580","29,123.135","30,265.210","28,412.530","27,582.690","32,350.160","31,292.150","25,789.840","32,963.700","32,651.290","35,056.730","61,171.800","186,139.920","199,288.740","75,890.260"
営業割,"17,241.226",-,-,-,"12,589.372",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
営業割増,"1,040.628",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
売薬営業税割,,,,,,,,,,,,,,,,,,,,,,,12.760,13.380,13.060,4.760
戸数割付加割,,,,,,,"10,168.550",11.813.370,"3,040.200",3>084.035,"8,802.000","9,532.040","11,942.210","13,881.900","12,124.790","15,506.910","16,851.850","15,664.500","22,949.410","24,056.010","28,151.410","37,816.660","46,090.890","153,347.070","187,007.120",41.690
水産税付加割,,,,,,,,,,,,,,,"2,047.010","1,626.640",893.490,643.580,658.590,695.790,871.200,405.880,539.920,905.390,"1,262.590",190.000
商工税,,,,,,"2,021.420",-,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-
雑種税,,,,,,"8,101.012",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遊興税,,,,,,,,,,,,,,,,,,,,,,,,"46,018.890","9,087.630",-
観覧税,,,,,,,,,,,,,,,,,,,,,,,,,"1,720.440",493.990
電柱税,,,,,,,,,,,,,,,,,"1,036.350",-,-,-,-,-,-,-,-,-
区債,,,,,,,,,,,,,288.407.500,"58,500.000","542,421.000",-,-,-,-,-,"498,000.000",0.000,"485,000.000","877,000.000","1,632,000.000","350,000.000"
区債,,,,,,,,,,,,,"288,407.500","58,500.000","542,421.000",-,-,-,-,-,498.000.000,-,"485,000.000","877,000.000","1,632,000.000","350,000.000"
公債,,,,,,,,,,,,,,,,,"130,000.000","70,000.000",-,-,-,-,-,-,-,-
臨時事業費公債,,,,,,,,,,,,,,,,,"130,000.000","70,000.000",ー,-,-,-,-,-,-,-
寄付金,,,,,,,,,,,,,,"51,185.270",-,-,100.000,"3,500.000",-,-,-,-,-,-,-,-
公会堂建築費寄付,,,,,,,,,,,,,,"51,025.270",-,-,-,-,-,-,-,-,-,-,-,-
寄贈金,,,,,,,,,,,,,,100.000,-,-,-,-,-,-,-,-,-,-,-,-
寄付金,,,,,,,,,,,,,,60.000,-,-,100.000,"3,500.000",ー,-,-,-,-,-,-,-
国庫下渡金,,,,,,,,,,,,,,,,,,,,,,"15,631.370","15,915.620","15,885.700","16,916.440",-
義務教育下渡金,,,,,,,,,,,,,,,,,,,,,,"15,631.370","15,915.620","15,885.700","16,916.440",-
御下賜金,,,,,,,,,,,,,,300.000,-,-,-,-,-,-,-,-,-,-,-,-
御下賜金,,,,,,,,,,,,,,300.000,-,-,-,-,-,-,-,-,-,-,-,-
繰越金,"3,180.325","12,647.445","21,710.650",0.000,"2,368.009","45,516.337","66,126.652","21,511.778","91,549.220",43.328.763,"16,736.600","21,218.919","7,022.112","42,936.985","17,655.144","8,416.126","54,674.137","115,725.411","72,109.168",59.701.174,"74,844.760","202,861.225","92,334.555","286,522.755","･139,940.625","716,207.435"
前々年度繰越金,,,,,,-,"23,366.999",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前年度繰越金,"3,180.325","12,647.445","21,710.650",-,"2,368.009","45,516.337","42,759.653","21,511.778","91,549.220","43,328.763","16,736.600","21,218.919","7,022.112","32,537.970","17,655.144","8,416.126","54,674.137","115,725.411","72,109.168","59,701.174","74,844.760","202,861.225","92,334.555","286,522.755","139,940.625","716,207.435"
給水工事費残金繰越,,,,,,,,,,,,,,"10,399.015",-,-,-,-,-,一,-,-,-,-,-,-
特別会計繰入金,,,,,,,,,,,,81.977.096,21.809.946,"16,280.691",14.783.000,"13,796.480",-,-,-,-,-,-,-,-,-,-
特別会計繰入金,,,,,,,,,,,,"81,977.096","21,809.946","16,280.691","14,783.000","13,796.480",-,-,-,-,-,-,-,-,-,-
借入金,,,,"15,078.891",605.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
借入金,,,,15.078.891,605.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
木材売却代,,,,,,,,,,,,,,,,,,,,,,,,,"183,665.520",-
木材売却代,,,,,,,,,,,,,,,,,,,,,,,,,"183,665.520",-
廉売米資金残金より繰人金,,,,,,,,,,,,,,,,,,,,,,,"11,748.000",-,-,-
廉売米資金残金より繰入金,,,,,,,,,,,,,,,,,,,,,,,"11,748.000",-,-,-
合　計,"209,997.034","205,027.640","134,107.801","88,802.469","343,229.224","392,425.249","413,252.700","489,672.058","349,960.308",374.424.792,"426,410.411","406,121.898",590.233.345,"594,515.572","1,090,219.966","509,081.148","682,481.240","652,614.528","532,856.686","607,385.995","1,211.192.385","843,591.595","1,597,540.505","2,609,780.935","3,574,276.715","1,450,367.855"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
