,単位,昭　　　和　　　26,,昭　　　和　　　27,,昭　　和,28,昭　　　和　　　29,,昭　　　和　　　30,,昭　　　和　　　31,,昭　　　和　　　32,,昭　　　和　　　33,,昭　　和,34,昭　　　和　　　35,,昭　　　和　　　36,
,,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額
総計,,●●●,"1,685,413",●●●,"2,842,751",●●・,"1,472,598",●●●,"3,026,559",,"2,018,282",●●●,"2,497,857",●●●,"2,824,772",●●●,"3,458,275",■●●,"3,371,471",●●●,"3,635,659",●●●,"4,078,489"
食糧,小計,●●●,"1,122,891",●●●,"2,458,371",●●●,"1,070,559",●●●,"2,797,301",●●●,"1,678,079",●●●,"1,681,877",,"792,998",●●●,"1,025,386",●●●,"580,457",●●●,"651,117",●●■,"728,550"
小麦,トッ,"6,401","227,615","44,447","1,618,858","10,000","288,493","34,540","923,689","19,000","494,830","39,040","1,023,113","15,313","405,828","29,846","745,773","22,092","547,825","26,800","649,290","24,734","616,562"
米,トン,"17,001","895,276","12,957","839,502","8,141","549,612","23,499","1,666,190","15,534","876,617","6,595","343,728","4,000","198,408","3,231","142,863",-,-,-,-,-,-
大麦,トッ,-,-,-,-,"8,680","232,452","8,000","205,372","11,732","306,603","13,045","314,935","8,000","188,751","6,700","135,005","1,500","31,272",-,-,-,-
ふすま,トッ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,752","105,360"
トマトペースト,kg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,685",645,-,-,-,-
こうりゃん,トッ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,"4,748"
その他,,-,-,●●●,11,●●●,２,●●●,"2,050",●●●,29,●●●,101,●●●,11,●●●,"1,745",●●二,715,●●●,"1,827",●暮●,"1,880"
飲料及びたぼこ,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,588,●●●,62,●●●,221,-,-
その他,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,588,●●●,62,●●●,221,-,-
食用に適しない原材料,小計,●●夸,"561,909",●●●,"375,833",●●●,"194,449",●●●,"191,149",●●●,"327,484",●●●,"402,461",●■襴,"306,433",●●●,"263,654",●●●,"241,461",●●●,"375,374",●●●,"409,460"
大豆,トッ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,680,-,-
丸太材（ラワン）,㎡,"4,045","42,622","1,905","16,301","3,142","35,720",-,-,-,-,"2,468","14,192",-,-,"2,065","10,312","2,500","14,792","10,308","65,552","24,656","186,729"
燐鉱石,トッ,"23,308","185,872","17,811","162,798","20,692","123,888","21,628","156,086","28,132","226,802","30,119","307,776","25,562","262,850","34,472","226,156","36,765","226,515","44,476","298,504","30,200","208,307"
塩,トッ,"46,547","332,350","28,244","196,644","10,356",34577,"9,486","34,912","19,812","98,718","10,668","69,510","9,285","43,225","7,700","26,955",-,-,"3,000","10,448","3,600","12,667"
くず鉄,トッ,-,-,-,-,-,-,-,-,-,-,538,"10,749",-,-,-,-,-,-,-,-,-,-
その他,,●●●,"1,065",●●●,90,●●●,264,●●●,151,●●●,"1,964",●●●,234,●●●,358,,231,●●●,154,●●●,190,●●●,"1,757"
鉱物性燃料潤滑油及び関連品,小計,-,-,●●●,"4,208",二●●,"27,298",憧●●,453,●●●,352,●・・,"121,013",●●●,"1,384,601",●●・,"2,005,227",●二●,"2,487,928",●幽●,"2,586,720",●●●,"2,759,125"
瀝青炭,トッ,-,-,-,-,"3,685","20,075",340,453,-,-,-,-,-,-,-,-,-,-,-,-,-,-
原油,㎡,-,-,-,-,-,-,-,-,-,-,"16,804","113,583","173,859","1,377,948","206,747","1,494,303","301,070","2,033,437","391,766k","2,140,828","353,106","1,697,421"
揮発油,㎡,-,-,215,"4,175",-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
燃料油,㎡,-,-,-,-,644,"7,079",-,-,-,-,"1,018","7,430",748,"6,653","56,918","510,909","53,749","453,976","55,206“","445,878","134,635","1,061,703"
その他,,-,-,,33,●●●,144,-,-,●●●,352,-,-,-,-,直●●,15,●●●,515,●●●,14,●●●,１
動物性及び植物性の油脂,小計,-,-,-,-,-,-,-,-,●●齒,135,-,-,-,-,●●●,７,●●●,72,●●●,40,申●●,２
その他,,-,-,-,-,-,-,-,-,●●●,135,-,-,-,-,●●●,７,●●●,72,●●●,40,●●●,２
薬品類,小計,●●●,57,・●●,25,-,-,-,-,碁●●,"6,504",●●●,"29,553",●●●,"40,252",●●●,"33,262",●●●,"4,532",●昜畆,"2,109",●●●,"141,631"
塗料類,kg,-,一,-,-,-,-,-,-,-,-,"82,951","29,553","56,540","17,382","24,933","6,730","13,515","4,167","4,564","1,774","30,119","9,151"
塩化カリ及び硫酸カリ,トッ,-,-,-,-,-,-,-,-,-,-,-,-,"1,300","22,627","1,300","25,922",-,-,-,-,"8,778","132,202"
その他,,●●●,57,●●●,25,-,-,-,-,●■●,"6,504",-,-,●・●,243,,610,●●●,365,●●●,335,●●●,278
原料別製品,小計,-,-,●●●,13,,"20,494",●●●,203,●●●,183,,"12,663",,"101,215",,"10,590",●●●,"3,789",●●●,".2,159",●●●,"7,041"
鉄鋼材（板）,ドッ,-,-,-,-,-,-,-,φ-,-,-,-,-,"1,197","89,962",-,-,-,-,-,-,-,-
鉄鋼材（管）,トッ,-,-,-,-,-,-,-,-,-,-,-,-,85,"6,972",-,-,-,-,-,-,-,-
鉄鋼製品,kg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,464","3,511"
銅合金,トッ,-,-,-,-,-,-,-,-,-,-,10,"7,863",-,-,-,-,-,-,-,-,-,-
ニッケル合金,トッ,-,-,-,-,-,-,-,-,-,-,５,"3,553",●●●,77,-,-,-,-,-,-,-,-
その他,,-,-,●●●,13,●●●,"20,494",●●・,203,●●●,183,●●●,"1,247",●●●,"4,204",●●●,"10,590",●●●,"3,789",●●●,"2,159",●●●,"3,530"
機械類及び運搬用機器,小計,●●●,407,●●●,"4,003",●●●,"156,405",●●・,"37,025",●●●,"2,532",●●●,"235,929",φ●●,"178,907",■●●,"105,634",●●●,"52,166",●●●,"16,948",●●●,"25,148"
機械類,,●●●,17,-,-,●●●,112,●●●,"33,438",●●●,"1,377",●●●,"235,929",●●●,"178,907",●●●,"103,709",●●●,"52,125",●●●,"16,948",●翩●,"24,961"
乗用自動車,台,２,390,10,"4,003",28,"10,210",８,"3,291",３,"1,155",-,-,-,-,３,"1,894",-,-,-,-,１,45
船舶,隻,-,一,-,-,１,"145,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,,-,-,-,-,●●●,183,●●●,296,-,-,-,-,-,-,●●●,31,●●●,41,-,-,●匆●,142
雑製品,小計,ａ●ａ,149,●●●,298,●●●,"3,393",●●●,428,●●●,630,昜●●,"14,361",●昜●,"20,366",●●昜,"13,927",●●●,984,●●●,971,●●●,"7,532"
測量器及びその部分品,kg,-,-,-,一,-,-,-,-,-,-,-,-,-,-,864,"3,023",-,-,-,-,３,"2,692"
ら針盤及びその部分品,kg,-,-,-,-,-,-,-,-,-,-,"1,023","3,300","1,767","5,106","2,525","7,368",10,96,-,-,"1,261","3,341"
自動調整装置,台,-,-,-,-,-,-,-,-,-,-,３,"5,505",３,"7,292",23,268,１,256,-,-,-,-
その他,,●●●,149,・●●,298,●●●,"3,393",●●●,428,●僵●,630,暴●●,"5,556",●●●,"7,968",・●●,"3,268",●●●,632,●●●,971,●●●,"1,499"
特殊取扱品,小計,-,-,-,-,-,-,-,-,●■●,"2,383",-,-,-,-,-,-,-,-,-,-,-,-
その他,,-,-,-,-,-,-,-,-,●●●,"2,383",-,-,-,-,-,-,-,-,-,-,-,-
再輸入品,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●■●,20,-,-,-,-
その他,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,20,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
